px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
111.155	12.7156	1.97225	-0.62033	-0.254631	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	3.18314
112.891	12.4465	1.5533	-0.106356	0.259336	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.36578
112.898	12.4341	1.74198	-0.102152	0.26259	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.286272
114.776	12.5448	2.07274	0.222795	0.301301	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.3508
114.782	12.5499	1.9353	0.232477	0.308402	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.300011
116.686	12.1473	1.69282	-0.258488	-0.218621	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	2.18784
116.745	12.1816	2.09349	-0.222082	-0.154657	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.19604
118.925	11.9881	2.35208	-0.0334933	0.0898264	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.678942
118.908	11.9897	2.23134	-0.0395288	0.0840412	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.106362
120.718	12.2827	1.91057	0.245719	0.223203	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.420296
120.772	12.2829	2.13328	0.240213	0.214645	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.583777
123.49	12.8194	3.09568	0.164025	-0.00359685	123.568	12.8297	122.95	12.5114	2.29835	0.246599	3.17713
123.383	12.8008	2.56549	0.188447	0.0172861	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.43169
124.972	12.7989	1.50995	0.0086575	-0.118442	124.894	12.7743	125.242	12.8125	2.37624	0.369827	3.40483
125.114	12.8287	2.3064	0.0157312	-0.103525	125.376	12.9964	125.242	12.8125	2.37624	0.369827	4.75239
127.803	13.3077	2.93972	0.296166	0.176222	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.79895
127.731	13.308	2.70587	0.305138	0.19487	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.05619
129.969	13.7177	2.3139	0.219463	0.00552891	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.678162
130.04	13.7248	2.42927	0.206261	-0.00621405	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.24662
132.104	14.4986	2.31488	0.403915	0.140639	132.092	14.507	132.53	14.458	2.55028	0.74543	0.209161
132.187	14.5004	2.62857	0.375302	0.0989948	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.34715
135.028	15.0501	3.09453	0.081744	-0.191115	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.38566
135.008	15.033	2.76698	0.0729289	-0.206214	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.786597
137.563	16.1834	2.69922	0.548163	0.282838	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.75137
137.612	16.1666	3.01523	0.504092	0.205787	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.768568
140.321	17.0263	2.88685	0.267714	-0.120516	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.839211
140.332	17.0289	2.92101	0.264846	-0.123407	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.037626
142.896	17.9831	2.87053	0.350751	0.0308426	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.194146
142.859	17.9769	2.90167	0.344275	0.0182011	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.609999
145.39	19.1556	2.96324	0.473705	0.0991015	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0576538
145.472	19.1648	3.09485	0.460046	0.0838614	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.64307
148.234	20.4733	3.27404	0.436854	4.54595e-05	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.163579
148.206	20.4708	3.05096	0.461254	0.0398944	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.360987
150.684	22.1068	3.14277	0.637182	0.139693	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0902802
150.689	22.1013	3.27959	0.610085	0.0919378	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.263814
153.414	23.5014	3.18639	0.423085	-0.117804	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.352884
153.392	23.4943	3.02365	0.436783	-0.0952768	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.196054
156.041	24.8021	3.13931	0.430892	-0.0292723	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0633299
156.018	24.8023	2.91085	0.454796	0.0122561	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.382763
158.868	26.0216	3.36717	0.359345	-0.075838	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.705419
158.879	26.0228	3.20869	0.368996	-0.0559504	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.534613
161.431	27.4222	3.01603	0.522888	0.0999877	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.32096
161.453	27.4285	2.98054	0.5301	0.114534	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.302599
163.644	28.7812	2.67059	0.591896	0.0829488	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.272687
163.765	28.7997	2.96115	0.545811	0.0263128	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.03329
166.773	30.1923	3.61288	0.33073	-0.167849	166.828	30.2062	166.809	30.0721	2.63006	1.22694	1.67583
166.705	30.1709	3.095	0.362881	-0.116551	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.75894
169.125	31.3705	2.78072	0.439307	0.0261856	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.4862
169.15	31.373	2.87523	0.431714	0.0140296	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.137565
172.131	32.3343	3.39674	0.224381	-0.158371	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.09383
172.107	32.3209	3.02271	0.226654	-0.154464	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.03492
174.659	33.4487	2.85171	0.437708	0.110683	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.626778
174.636	33.447	2.77163	0.442606	0.119656	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.109265
177.033	34.2171	2.60132	0.293017	-0.0762965	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.357207
177.048	34.2184	2.57992	0.290215	-0.0783772	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.118785
180.075	35.1211	3.52315	0.289943	-0.0204693	180.145	35.1423	179.799	35.1289	2.47883	0.732949	2.6478
179.933	35.1005	2.81206	0.323941	0.0338915	179.543	35.4767	179.799	35.1289	2.47883	0.732949	4.27876
182.588	35.7562	2.92508	0.210567	-0.0727161	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.127183
182.487	35.7337	2.58397	0.218384	-0.0660864	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.08044
184.739	36.507	2.5091	0.351177	0.0774485	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.171205
184.727	36.508	2.34316	0.361644	0.0941412	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.201872
186.937	36.954	2.35769	0.156521	-0.120227	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.353605
187.002	36.9662	2.44896	0.147664	-0.127459	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.10059
189.447	37.3961	2.69251	0.163123	-0.0240935	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.254358
189.452	37.3986	2.40134	0.166122	-0.019662	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.09867
191.732	37.5681	2.44195	0.0352961	-0.0983252	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.0501407
191.692	37.5566	2.24483	0.0253032	-0.113358	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.351662
193.499	37.2871	1.89734	-0.227261	-0.216872	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.45768
193.53	37.2982	2.08428	-0.203891	-0.184593	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.266768
195.943	37.3745	2.50088	0.1868	0.232791	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.05822
195.831	37.3748	1.99616	0.163453	0.221381	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.62709
197.717	37.7331	2.07204	0.271244	0.141946	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.0630818
197.672	37.7245	1.95055	0.275818	0.145831	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.448556
199.319	37.3347	1.41131	-0.255256	-0.310562	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	2.36074
199.344	37.3555	1.64985	-0.227541	-0.269065	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.397652
201.481	36.9872	2.39811	-0.10664	0.0225523	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.45292
201.354	36.9665	1.88262	-0.207734	-0.0758154	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.12477
202.968	36.4588	1.82408	-0.335699	-0.111475	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0227443
202.919	36.4468	1.62034	-0.377415	-0.163429	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.507143
204.014	36.1728	1.13055	-0.30785	-0.0163955	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.749533
204.017	36.1628	1.4553	-0.281944	0.0231924	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.21397
